3	0	133	31	917	-16	-25	996	462	-346	-624	280	-54320	-45220	
12082	12079	-159	-120	1283	-11	38	1135	465	-349	-631	-62160	-102970	-84350	
24163	12081	43	-30	932	-66	28	1020	465	-340	-633	3430	-73010	-11690	
36242	12079	109	-97	870	70	-46	985	472	-343	-630	-12110	26390	26390	
48324	12082	101	-11	979	46	-45	1021	472	-346	-627	-10850	26880	11270	
60402	12078	31	-19	995	11	-63	1069	462	-337	-624	-980	770	1050	
72482	12080	35	-22	971	-18	-26	1046	474	-337	-624	-910	-7070	-1540	
84565	12083	117	51	874	45	-78	990	469	-337	-630	-840	-8330	-2450	
96645	12080	39	0	995	23	-49	1049	471	-343	-639	-490	-2800	-6650	
108727	12082	8	-26	1002	-5	-2	1016	463	-336	-633	-280	-2030	-4340	
120808	12081	-3	-54	967	-26	8	1031	472	-342	-637	-210	-3360	-1610	
132891	12083	27	-46	971	-5	2	1025	468	-342	-634	-140	-2660	-70	
144975	12084	23	-26	963	-14	-8	1032	466	-346	-633	-210	-1960	70	
157057	12082	31	-26	959	-8	-15	1034	472	-342	-633	-210	-1680	0	
169139	12082	35	-11	948	-4	-31	1036	475	-348	-631	-210	-1330	70	
181220	12081	35	0	952	-7	-38	1032	465	-345	-633	-210	-1330	-140	
193299	12079	12	12	983	-16	-57	1033	472	-348	-631	-140	-840	-2450	
205382	12083	8	-19	991	-20	-48	1034	472	-343	-630	-210	-1120	-2240	
217465	12083	23	-3	971	-27	-14	1035	469	-343	-634	-490	-2940	140	
229546	12081	55	-34	952	1	-10	1051	468	-343	-634	-910	-4200	2240	
241629	12083	117	-26	866	32	-29	977	477	-343	-630	210	1680	770	
253708	12079	0	-34	991	-8	1	1063	469	-340	-627	-280	-1750	840	
265787	12079	66	-34	932	26	18	1007	469	-342	-627	-280	-3220	1190	
277872	12085	43	-65	948	22	21	1035	469	-346	-639	210	-70	1890	
289952	12080	16	-34	971	-6	2	1047	462	-345	-637	-210	-1610	1400	
302035	12083	23	-30	952	-2	-9	1036	468	-342	-633	-280	-2170	2100	
314114	12079	12	-26	1053	-29	-5	1054	468	-331	-630	-350	-2590	2590	
326193	12079	335	183	702	-66	-18	1288	472	-337	-634	-2240	-17150	7910	
338275	12082	183	16	566	122	-80	785	462	-345	-627	-770	-6720	6720	
350356	12081	-19	-65	1080	23	-8	984	457	-346	-627	-700	-1330	3010	
362437	12081	8	-30	1037	3	-18	1054	462	-345	-625	-910	-9240	4410	
374521	12084	168	-3	651	42	-24	940	462	-340	-630	-490	-8050	4690	
386604	12083	27	-42	944	-10	-5	1047	463	-343	-628	-280	-2660	3430	
398686	12082	43	-19	952	2	-1	1034	463	-342	-627	-490	-2940	4340	
410767	12081	35	-26	987	-15	-6	1072	466	-342	-628	-2170	-5110	3990	
422849	12082	-3	-65	971	-14	14	1052	459	-348	-631	-4060	-7980	11620	
434930	12081	62	-19	963	-6	8	1046	459	-342	-628	-5180	-9170	17430	
447011	12081	23	8	995	20	-30	908	469	-337	-628	210	-2730	20230	
459093	12082	66	0	905	31	-46	1027	465	-331	-628	-350	-2450	15820	
471174	12081	74	-11	874	19	-42	1044	454	-336	-627	-700	-2170	9730	
483255	12081	20	12	956	-6	-47	1046	465	-339	-630	-1610	-3010	11550	
495337	12082	27	55	1002	-12	-111	1021	466	-342	-627	-1260	-2450	4830	
507423	12086	66	-58	983	19	1	1039	465	-339	-633	-1190	-2520	-4760	
519505	12082	51	8	944	15	-50	1024	469	-343	-627	-1190	-2520	-9240	
531588	12083	98	20	979	10	-57	1032	469	-340	-631	-630	-1820	-13930	
543671	12083	23	-46	1018	35	-39	1041	472	-342	-631	-1190	-2030	-16380	
555753	12082	39	-81	917	25	28	1031	459	-342	-628	-1190	-2380	-13230	
567837	12084	78	-54	944	25	16	1033	466	-346	-634	-490	-2310	-5250	
579919	12082	35	-46	971	20	11	1046	462	-348	-624	-910	-3010	-840	
592005	12086	51	-104	975	28	39	1059	462	-342	-624	-3780	-2660	4480	
604084	12079	43	-42	956	15	5	1063	463	-343	-631	-10080	-1890	8680	
616167	12083	31	-19	987	-7	-16	1082	466	-343	-628	-15120	-2310	7210	
628251	12084	12	0	1010	-24	-39	1089	457	-355	-619	-37660	-1680	1190	
640331	12080	43	20	983	-9	-66	1046	462	-352	-628	-47880	-1890	-4410	
652412	12081	31	35	967	20	-77	1024	468	-360	-619	-50750	-1960	-7840	
664495	12083	74	70	924	28	-90	1006	468	-375	-615	-49700	-1540	-8050	
676578	12083	51	31	928	8	-101	987	465	-379	-610	-34860	-1610	-6580	
688660	12082	47	20	940	30	-67	1013	465	-375	-615	-26250	-1610	-3780	
700742	12082	55	43	971	14	-90	1025	469	-388	-606	-21700	-1680	-2170	
712826	12084	23	43	967	13	-86	1026	456	-387	-612	-19740	-1820	-3360	
724909	12083	70	12	959	4	-74	1040	466	-397	-607	-22050	-1540	-3150	
736989	12080	39	12	971	19	-47	1059	468	-400	-606	-26670	-1540	-1960	
749073	12084	35	16	952	14	-74	1050	472	-394	-601	-31430	-2030	-490	
761155	12082	39	62	967	7	-105	1040	465	-406	-598	-35210	-2660	1680	
773237	12082	39	43	948	7	-103	1026	468	-414	-600	-36260	-2730	3080	
785318	12081	39	160	956	10	-115	1031	465	-412	-600	-35490	-2800	4130	
797400	12082	27	101	952	-1	-151	1033	465	-421	-586	-37170	-2660	3710	
809482	12082	43	113	959	3	-150	1028	463	-423	-594	-39620	-1260	-490	
821565	12083	35	113	944	0	-153	1042	465	-438	-574	-46550	-1120	-2800	
833645	12080	43	121	967	5	-146	1039	465	-442	-571	-49420	-1120	-4270	
845728	12083	47	113	952	9	-154	1038	474	-448	-576	-52570	-1400	-4970	
857812	12084	39	133	944	20	-177	1017	469	-450	-568	-55020	-2240	-3990	
869893	12081	47	144	952	19	-191	1000	465	-468	-559	-51310	-2030	-3290	
881975	12082	47	152	956	16	-194	1021	469	-475	-552	-49490	-2450	-1820	
894056	12081	43	160	952	14	-201	1018	459	-483	-562	-49350	-3150	-490	
906138	12082	47	176	948	14	-210	1011	457	-481	-552	-50260	-3080	770	
918221	12083	39	195	924	12	-223	1011	465	-487	-546	-50610	-3220	1260	
930301	12080	55	195	924	14	-236	993	468	-502	-535	-47950	-3360	2450	
942384	12083	78	250	928	14	-261	997	460	-498	-541	-44800	-3360	3920	
954467	12083	51	234	909	14	-264	979	466	-511	-541	-41440	-2730	3990	
966550	12083	27	242	952	-2	-305	998	462	-510	-531	-40320	-2310	1540	
978633	12083	31	293	920	9	-323	970	465	-520	-522	-37730	-1960	-280	
990719	12086	47	300	901	2	-326	972	460	-526	-522	-33460	-1330	-2520	
1002799	12080	31	269	889	-1	-333	973	468	-526	-522	-26180	280	-8120	
1014883	12084	43	296	948	7	-346	964	457	-519	-519	-21070	630	-9730	
1026963	12080	55	293	940	10	-316	983	468	-538	-517	-16240	280	-9870	
1039047	12084	55	261	932	18	-287	986	457	-528	-513	-12950	-350	-9240	
1051130	12083	47	230	936	24	-271	1006	466	-532	-511	-13230	-1260	-4900	
1063216	12086	51	230	913	28	-263	1016	463	-538	-514	-15960	-1960	-1610	
1075297	12081	43	246	940	21	-293	1003	466	-541	-510	-18480	-2170	420	
1087377	12080	47	261	948	11	-310	995	471	-547	-510	-21070	-2030	840	
1099462	12085	39	277	909	10	-318	997	463	-537	-508	-25480	-1890	-350	
1111543	12081	47	277	920	10	-314	1000	469	-543	-498	-28210	-2030	-770	
1123626	12083	43	293	905	12	-335	986	462	-556	-507	-29820	-2030	-980	
1135707	12081	43	300	905	11	-342	984	454	-546	-496	-30800	-2030	-1610	
1147791	12084	47	320	905	8	-355	979	466	-562	-495	-32760	-1190	-4340	
1159872	12081	35	328	881	10	-362	966	463	-553	-484	-31640	-630	-5880	
1171953	12081	51	359	897	15	-381	956	463	-570	-483	-29470	-70	-7840	
1184035	12082	55	289	909	4	-363	963	460	-571	-481	-26460	280	-8750	
1196114	12079	55	320	901	15	-357	974	463	-573	-480	-25480	70	-7910	
1208198	12084	39	289	917	17	-345	979	462	-574	-477	-27160	-140	-7000	
1220277	12079	20	293	897	21	-351	973	463	-574	-471	-30100	-280	-6580	
1232356	12079	55	332	897	20	-363	973	462	-583	-468	-31360	-420	-5250	
1244440	12084	43	343	885	17	-387	959	463	-586	-474	-30520	-1120	-3290	
1256520	12080	35	367	885	19	-399	943	471	-591	-475	-27510	-1330	-2590	
1268603	12083	51	394	881	17	-422	930	453	-592	-465	-22890	-1750	-1400	
1280686	12083	39	343	913	30	-402	924	465	-594	-459	-15680	-2380	2100	
1292764	12078	51	476	878	19	-433	928	462	-595	-457	3640	-3710	2800	
1304846	12082	51	491	979	9	-445	922	460	-588	-460	10220	-2660	980	
1316928	12082	129	449	905	6	-420	930	459	-597	-456	17640	-1680	-210	
1329012	12084	20	382	1018	22	-372	974	462	-591	-466	26810	-2030	1330	
1341093	12081	105	421	995	24	-313	1023	465	-586	-465	15260	-4480	4900	
1353171	12078	101	246	920	37	-250	1043	465	-583	-463	5250	-6510	10500	
1365257	12086	66	320	811	-2	-397	1002	465	-585	-477	-8260	-7000	10920	
1377339	12082	20	382	924	9	-412	966	468	-582	-466	-19670	-6160	5530	
1389419	12080	4	374	858	19	-387	953	469	-589	-459	-30660	-3780	3710	
1401501	12082	39	382	885	-11	-439	940	472	-595	-460	-34860	-2310	-420	
1413582	12081	51	398	885	9	-434	934	462	-592	-451	-34160	-1470	-2730	
1425665	12083	39	398	854	10	-439	933	468	-600	-448	-31850	-910	-5810	
1437745	12080	35	398	874	10	-447	929	463	-603	-436	-27160	630	-7490	
1449828	12083	51	398	862	8	-442	933	459	-610	-447	-25760	840	-8330	
1461910	12082	86	406	901	15	-420	946	466	-613	-445	-25060	1050	-8750	
1473994	12084	8	324	839	16	-421	940	462	-607	-436	-25620	910	-7840	
1486078	12084	39	355	874	11	-414	957	457	-607	-433	-30800	1680	-7280	
1498157	12079	51	378	881	7	-413	964	459	-616	-426	-37170	1610	-7070	
1510240	12083	43	394	866	11	-426	952	468	-621	-420	-43050	1260	-6860	
1522320	12080	55	429	854	12	-458	939	465	-630	-418	-47880	1260	-8750	
1534400	12080	47	441	854	18	-465	925	460	-633	-411	-52360	1820	-8680	
1546482	12082	55	456	878	20	-472	916	462	-637	-403	-52430	1260	-7910	
1558565	12083	23	468	846	17	-489	912	457	-648	-396	-52500	910	-7000	
1570645	12080	39	468	839	12	-505	907	465	-649	-394	-52150	70	-5530	
1582728	12083	51	495	819	16	-513	886	460	-655	-382	-47040	-140	-4900	
1594812	12084	47	511	815	14	-540	876	460	-657	-385	-44100	700	-5880	
1606893	12081	43	530	807	8	-550	876	456	-660	-363	-41930	1890	-7770	
1618975	12082	86	542	819	17	-533	882	459	-667	-361	-40740	3430	-10010	
1631056	12081	20	456	835	20	-513	904	460	-670	-360	-43190	2660	-8540	
1643138	12082	43	484	803	18	-523	884	457	-684	-349	-44450	1540	-6860	
1655221	12083	51	530	792	15	-568	864	454	-681	-355	-43470	70	-5600	
1667301	12080	43	530	796	16	-569	856	457	-685	-352	-39970	-1680	-3010	
1679384	12083	43	530	796	13	-579	856	456	-688	-340	-33880	-1960	-2660	
1691467	12083	43	530	803	17	-573	857	463	-691	-331	-32410	-2030	-2380	
1703550	12083	59	534	784	16	-586	849	459	-694	-327	-32200	-1820	-2100	
1715633	12083	55	558	753	15	-603	840	457	-691	-324	-32480	840	-4620	
1727719	12086	47	546	749	14	-615	828	454	-699	-318	-31850	2450	-6860	
1739799	12080	39	542	772	18	-597	850	466	-699	-312	-30940	2380	-7210	
1751883	12084	47	562	803	19	-595	846	457	-700	-316	-30520	1750	-6580	
1763963	12080	55	569	792	13	-592	859	454	-702	-313	-30520	560	-5110	
1776047	12084	43	554	764	17	-584	854	451	-697	-307	-37310	770	-4830	
1788130	12083	82	608	772	17	-620	835	460	-711	-289	-41440	1050	-4760	
1800216	12086	62	620	741	19	-635	810	459	-703	-289	-42980	1190	-5250	
1812297	12081	39	593	725	19	-655	798	459	-712	-289	-41160	1750	-6090	
1824377	12080	47	601	753	19	-662	793	453	-718	-283	-33950	1960	-6370	
1836462	12085	47	612	729	19	-652	803	450	-717	-279	-33040	2660	-6440	
1848543	12081	59	624	764	16	-652	802	456	-724	-280	-34230	3570	-7630	
1860626	12083	39	624	718	15	-658	801	445	-727	-268	-35770	4690	-8960	
1872707	12081	51	608	749	25	-652	801	460	-729	-268	-34510	3710	-7910	
1884791	12084	20	636	733	15	-662	793	457	-724	-262	-33040	3220	-7210	
1896872	12081	39	640	722	12	-668	791	456	-727	-261	-33460	3220	-6930	
1908953	12081	39	636	741	12	-679	783	454	-733	-256	-31220	1260	-4550	
1921035	12082	43	616	718	11	-674	788	459	-744	-240	-32620	910	-4270	
1933114	12079	31	655	706	15	-686	778	454	-735	-243	-35700	1260	-4480	
1945198	12084	47	675	729	15	-689	770	460	-745	-229	-38780	2240	-5460	
1957277	12079	51	636	690	17	-695	768	450	-742	-231	-38360	700	-4410	
1969356	12079	55	686	686	19	-714	743	454	-744	-219	-34580	0	-3850	
1981440	12084	47	702	686	14	-738	725	457	-748	-219	-30170	560	-4480	
1993520	12080	43	686	686	14	-728	732	457	-745	-214	-25970	980	-4900	
2005603	12083	55	690	655	18	-724	738	448	-741	-210	-19320	-280	-3500	
2017686	12083	43	698	690	15	-731	732	451	-750	-214	-16730	-350	-3220	
2029764	12078	47	702	679	17	-728	728	454	-756	-216	-15540	630	-4130	
2041846	12082	55	679	644	15	-730	738	454	-759	-204	-15610	2030	-5040	
2053928	12082	43	690	683	22	-723	733	450	-756	-195	-17430	3290	-5950	
2066012	12084	70	671	651	20	-726	744	456	-759	-189	-17640	2520	-5390	
2078093	12081	31	671	663	15	-729	736	453	-751	-198	-17640	1540	-4410	
2090171	12078	47	690	671	16	-730	732	451	-760	-190	-17640	840	-3710	
2102257	12086	35	690	655	15	-739	725	453	-763	-196	-15960	-840	-2100	
2114339	12082	39	714	655	15	-742	721	448	-765	-193	-15190	-1120	-1960	
2126419	12080	47	718	647	17	-755	708	450	-748	-190	-14560	-770	-2380	
2138501	12082	47	725	640	17	-758	702	450	-757	-198	-13790	0	-4410	
2150582	12081	43	725	659	13	-757	715	450	-765	-184	-12040	1190	-4620	
2162665	12083	20	706	659	22	-749	711	453	-765	-187	-11410	1120	-4340	
2174745	12080	39	690	644	17	-739	723	451	-765	-180	-10430	420	-3360	
2186828	12083	43	710	651	20	-741	716	459	-769	-181	-9240	-1190	-420	
2198910	12082	47	718	644	16	-755	710	451	-765	-177	-8610	-2030	-560	
2210994	12084	39	706	644	15	-747	716	453	-768	-175	-10430	-1820	-840	
2223078	12084	47	698	636	18	-742	718	453	-765	-178	-12670	-1960	-630	
2235157	12079	47	694	644	18	-736	722	447	-766	-172	-15050	-2030	-70	
2247240	12083	43	714	632	18	-739	721	457	-762	-168	-21910	-2240	210	
2259320	12080	31	725	620	17	-752	699	448	-766	-166	-23730	-2380	210	
2271400	12080	43	733	605	14	-774	689	453	-766	-162	-24150	-2380	-70	
2283482	12082	47	749	636	15	-782	681	453	-766	-156	-23730	-2240	-840	
2295565	12083	31	749	608	16	-790	671	448	-766	-157	-19040	-2170	-1120	
2307645	12080	43	745	612	17	-790	675	450	-768	-154	-16940	-1890	-1470	
2319728	12083	55	741	601	18	-780	677	453	-774	-156	-16100	-1470	-1750	
2331812	12084	43	737	624	17	-777	680	451	-769	-151	-16310	-1190	-2170	
2343893	12081	55	753	628	21	-783	673	456	-774	-153	-16590	-420	-2450	
2355975	12082	43	761	612	18	-796	662	448	-768	-148	-15820	420	-3150	
2368056	12081	62	753	597	19	-794	663	447	-771	-151	-14980	1190	-3710	
2380138	12082	27	729	605	17	-796	668	453	-784	-147	-14140	1680	-4200	
2392221	12083	51	741	589	19	-781	676	454	-777	-141	-12460	420	-3360	
2404301	12080	47	745	597	14	-791	670	453	-774	-136	-11760	-560	-2730	
2416384	12083	27	741	605	11	-782	671	448	-780	-138	-11550	-1470	-1680	
2428467	12083	51	757	597	18	-794	660	456	-783	-135	-11970	-2100	-700	
2440550	12083	51	761	577	19	-799	653	453	-774	-133	-10990	-1820	-840	
2452633	12083	51	757	593	15	-800	656	451	-786	-136	-10850	-1610	-1120	
2464719	12086	31	757	593	17	-801	656	447	-778	-126	-10850	-1540	-1190	
2476799	12080	43	753	585	23	-800	650	451	-778	-124	-10640	-1750	-1190	
2488883	12084	47	745	589	14	-800	655	456	-777	-124	-11200	-1610	-1470	
2500963	12080	43	753	585	16	-798	663	451	-783	-121	-12390	-1750	-1540	
2513047	12084	59	757	589	15	-795	652	454	-778	-129	-14280	-2030	-1190	
2525130	12083	55	761	585	17	-797	648	456	-783	-129	-16100	-1820	-560	
2537216	12086	27	776	577	8	-800	647	454	-777	-117	-17570	-1750	-350	
2549297	12081	51	764	562	15	-807	646	453	-780	-115	-17850	-1890	-490	
2561377	12080	51	768	577	13	-806	644	457	-786	-112	-18270	-2240	-350	
2573462	12085	43	780	554	15	-811	641	465	-792	-111	-20090	-1680	-1120	
2585543	12081	39	768	566	22	-812	634	457	-789	-117	-24290	-1050	-1610	
2597626	12083	51	776	558	17	-818	624	453	-790	-108	-26110	-700	-1750	
2609707	12081	43	807	538	19	-843	611	453	-790	-106	-26320	-700	-1820	
2621791	12084	39	815	546	12	-851	599	454	-784	-100	-24010	-560	-2590	
2633872	12081	47	811	530	20	-851	591	454	-792	-96	-16520	-140	-3080	
2645953	12081	66	784	534	13	-832	606	453	-787	-99	-14560	140	-3570	
2658035	12082	59	803	534	12	-826	612	454	-786	-93	-14840	840	-3570	
2670114	12079	51	792	542	15	-830	613	448	-796	-88	-15610	1120	-3360	
2682198	12084	43	792	511	23	-837	597	450	-795	-88	-16520	1470	-3360	
2694277	12079	66	788	530	17	-828	610	451	-795	-84	-17080	1190	-3150	
2706356	12079	55	796	527	12	-844	603	448	-786	-88	-18270	910	-2800	
2718440	12084	35	803	523	23	-840	596	456	-796	-79	-19040	490	-3010	
2730520	12080	59	788	530	10	-837	608	447	-790	-81	-20090	-630	-2450	
2742603	12083	43	807	519	21	-849	589	460	-798	-73	-20440	-1260	-1750	
2754686	12083	39	811	507	15	-857	577	451	-796	-69	-19670	-1890	-1400	
2766764	12078	43	815	507	16	-859	572	447	-795	-76	-18410	-1050	-1890	
2778846	12082	55	823	488	19	-862	569	451	-795	-63	-17570	-420	-2170	
2790928	12082	31	839	511	21	-871	564	453	-802	-69	-16170	280	-2660	
2803012	12084	59	823	499	20	-860	568	456	-796	-57	-14700	560	-3080	
2815093	12081	39	803	511	15	-853	579	448	-802	-58	-14280	-350	-2240	
2827171	12078	47	803	523	19	-848	581	450	-805	-67	-15960	-910	-1820	
2839257	12086	27	811	503	19	-846	578	454	-793	-63	-17570	-1610	-1470	
2851339	12082	47	811	511	19	-845	577	451	-804	-54	-19670	-2240	-770	
2863419	12080	47	823	491	17	-857	571	447	-804	-43	-24500	-2800	-350	
2875501	12082	51	831	480	19	-869	553	444	-807	-42	-24990	-2730	-280	
2887582	12081	47	831	488	19	-873	551	451	-807	-49	-25970	-2730	70	
2899665	12083	51	842	484	23	-886	536	448	-801	-34	-26040	-3150	70	
2911745	12080	55	854	468	33	-896	532	450	-807	-42	-20580	-3780	-140	
2923828	12083	43	850	433	17	-891	523	453	-795	-36	-19250	-3080	-560	
2935910	12082	47	858	445	19	-902	505	456	-804	-31	-18760	-1680	-1260	
2947994	12084	51	862	452	18	-902	511	441	-804	-25	-16030	-840	-1820	
2960078	12084	35	846	460	24	-899	514	454	-807	-25	-11830	-70	-2590	
2972157	12079	27	854	476	16	-893	520	454	-802	-25	-10850	0	-2940	
2984240	12083	51	842	445	2	-873	531	454	-802	-34	-11620	-70	-2940	
2996320	12080	23	839	484	22	-874	528	451	-805	-27	-13860	-70	-1680	
3008400	12080	47	831	460	15	-880	532	453	-814	-15	-15470	-1890	-980	
3020482	12082	39	858	460	15	-893	522	453	-808	-19	-15680	-2520	-770	
3032565	12083	51	839	449	22	-872	531	445	-807	-18	-17500	-2870	-350	
