magneometer (mgauss);;;lin. accel. (mg);;;lin gyroscope acc. (mg);;;gyroscope (mdps);;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
-256;"	-76";"	-484";"	12";"	-11";"	1006";"	-15";"	-5";"	1033";"	1400";"	-210";"	-1610";"	-1610"
;;;;;;;;;;;;
-267;"	-84";"	-465";"	12";"	-15";"	995";"	-2";"	-8";"	1013";"	1610";"	-1260";"	-1050";"	-1050"
;;;;;;;;;;;;
-267;"	-69";"	-468";"	12";"	-19";"	979";"	-4";"	-8";"	1014";"	1610";"	-1260";"	-1050";"	-1050"
;;;;;;;;;;;;
-268;"	-81";"	-474";"	8";"	-22";"	987";"	-3";"	-7";"	1014";"	1610";"	-1260";"	-980";"	-980"
;;;;;;;;;;;;
-267;"	-82";"	-472";"	8";"	-22";"	987";"	-7";"	-9";"	1014";"	1610";"	-1120";"	-1050";"	-1050"
;;;;;;;;;;;;
-262;"	-81";"	-465";"	4";"	-77";"	1006";"	1";"	65";"	991";"	1400";"	140";"	-7210";"	-7210"
;;;;;;;;;;;;
-114;"	43";"	-484";"	12";"	23";"	885";"	-14";"	-23";"	1038";"	700";"	-280";"	-11410";"	-11410"
;;;;;;;;;;;;
-141;"	33";"	-492";"	12";"	-15";"	998";"	-5";"	-11";"	1013";"	1610";"	-1330";"	-1050";"	-1050"
;;;;;;;;;;;;
-151;"	33";"	-498";"	4";"	-15";"	1010";"	-7";"	-13";"	1016";"	1680";"	-1120";"	-560";"	-560"
;;;;;;;;;;;;
-79;"	45";"	-486";"	4";"	12";"	948";"	-10";"	3";"	1045";"	1120";"	910";"	-33600";"	-33600"
;;;;;;;;;;;;
-114;"	49";"	-489";"	-38";"	-81";"	1045";"	-10";"	21";"	1093";"	1470";"	-2520";"	49350";"	49350"
;;;;;;;;;;;;
-279;"	-103";"	-475";"	-15";"	-58";"	991";"	-5";"	15";"	1027";"	2030";"	-2240";"	18410";"	18410"
;;;;;;;;;;;;
-283;"	-183";"	-462";"	-7";"	-15";"	995";"	-19";"	-10";"	1021";"	1820";"	-2100";"	7280";"	7280"
;;;;;;;;;;;;
-276;"	-226";"	-462";"	117";"	113";"	819";"	10";"	-34";"	874";"	2170";"	-8750";"	47390";"	47390"
;;;;;;;;;;;;
-259;"	-252";"	-453";"	20";"	-11";"	995";"	-3";"	-9";"	1020";"	1680";"	-3150";"	-1330";"	-1330"
;;;;;;;;;;;;
-285;"	-220";"	-447";"	195";"	195";"	1104";"	26";"	-211";"	999";"	910";"	20160";"	-12040";"	-12040"
;;;;;;;;;;;;
-178;"	19";"	-477";"	-3";"	-19";"	1018";"	-2";"	-32";"	1031";"	1400";"	-350";"	-8120";"	-8120"
;;;;;;;;;;;;
-193;"	-43";"	-415";"	16";"	59";"	932";"	-15";"	-86";"	963";"	11130";"	-7910";"	-4760";"	-4760"
;;;;;;;;;;;;
-192;"	-39";"	-391";"	0";"	12";"	983";"	-15";"	-36";"	1027";"	9520";"	4410";"	3920";"	3920"
;;;;;;;;;;;;
-226;"	241";"	135";"	43";"	-982";"	129";"	20";"	1002";"	166";"	10080";"	140";"	-4690";"	-4690"
;;;;;;;;;;;;
-220;"	222";"	165";"	62";"	-974";"	-19";"	24";"	1003";"	5";"	2730";"	770";"	-2240";"	-2240"
;;;;;;;;;;;;
-220;"	211";"	186";"	59";"	-974";"	-58";"	22";"	985";"	-8";"	-2520";"	-630";"	-1960";"	-1960"
;;;;;;;;;;;;
-222;"	207";"	195";"	70";"	-970";"	-108";"	35";"	985";"	-81";"	-910";"	-5250";"	630";"	630"
;;;;;;;;;;;;
-225;"	220";"	195";"	66";"	-962";"	-69";"	31";"	988";"	-43";"	3150";"	-2100";"	-980";"	-980"
;;;;;;;;;;;;
-226;"	220";"	195";"	62";"	-974";"	-104";"	24";"	988";"	-61";"	1330";"	-1680";"	-1680";"	-1680"
;;;;;;;;;;;;
-226;"	222";"	199";"	66";"	-958";"	-58";"	29";"	981";"	-35";"	980";"	-3990";"	350";"	350"
;;;;;;;;;;;;
-223;"	220";"	198";"	43";"	-966";"	-100";"	21";"	989";"	-69";"	700";"	-70";"	-1610";"	-1610"
;;;;;;;;;;;;
-201;"	222";"	204";"	20";"	-962";"	-61";"	-15";"	975";"	-42";"	-1330";"	-3080";"	-1610";"	-1610"
;;;;;;;;;;;;
-205;"	235";"	208";"	23";"	-978";"	-85";"	-12";"	1000";"	-51";"	560";"	-2730";"	-980";"	-980"
;;;;;;;;;;;;
-207;"	246";"	186";"	23";"	-978";"	-30";"	-11";"	999";"	-3";"	-5880";"	420";"	-770";"	-770"
;;;;;;;;;;;;
-213;"	261";"	93";"	16";"	-970";"	187";"	-9";"	984";"	230";"	-2380";"	-210";"	-1400";"	-1400"
;;;;;;;;;;;;
-207;"	267";"	75";"	12";"	-939";"	183";"	-17";"	963";"	242";"	0";"	-560";"	-490";"	-490"
;;;;;;;;;;;;
-204;"	274";"	45";"	12";"	-923";"	300";"	-21";"	933";"	315";"	-2660";"	-910";"	-1470";"	-1470"
;;;;;;;;;;;;
-205;"	264";"	-28";"	-3";"	-880";"	425";"	-23";"	887";"	460";"	-9030";"	140";"	-1610";"	-1610"
;;;;;;;;;;;;
-204;"	252";"	-55";"	12";"	-834";"	495";"	-15";"	844";"	525";"	-420";"	-770";"	-910";"	-910"
;;;;;;;;;;;;
-214;"	244";"	-82";"	20";"	-799";"	554";"	-10";"	802";"	579";"	-6300";"	-2240";"	-1260";"	-1260"
;;;;;;;;;;;;
-202;"	240";"	-126";"	16";"	-752";"	628";"	-11";"	767";"	640";"	-350";"	-1400";"	-770";"	-770"
;;;;;;;;;;;;
-202;"	223";"	-199";"	-7";"	-662";"	745";"	-31";"	656";"	774";"	-630";"	-1540";"	-420";"	-420"
;;;;;;;;;;;;
-181;"	199";"	-234";"	-38";"	-557";"	823";"	-61";"	560";"	840";"	-10780";"	-1190";"	-1750";"	-1750"
;;;;;;;;;;;;
-166;"	102";"	-334";"	-42";"	-280";"	975";"	-66";"	261";"	1000";"	-13020";"	-7980";"	-1400";"	-1400"
;;;;;;;;;;;;
-172;"	31";"	-369";"	-15";"	-116";"	998";"	-33";"	102";"	1008";"	560";"	280";"	-1680";"	-1680"
;;;;;;;;;;;;
-159;"	7";"	-376";"	-30";"	-58";"	995";"	-53";"	41";"	1019";"	2520";"	-1680";"	-1120";"	-1120"
;;;;;;;;;;;;
-178;"	16";"	-367";"	8";"	-58";"	917";"	-40";"	36";"	952";"	1610";"	-8540";"	-1820";"	-1820"
;;;;;;;;;;;;
-169;"	-30";"	-397";"	31";"	-26";"	1053";"	27";"	4";"	1058";"	16380";"	11550";"	-70";"	-70"
;;;;;;;;;;;;
-148;"	-16";"	-412";"	-42";"	4";"	963";"	-60";"	-37";"	995";"	4130";"	-1050";"	1260";"	1260"
;;;;;;;;;;;;
-151;"	-10";"	-399";"	-38";"	-11";"	1014";"	-61";"	-9";"	1038";"	2380";"	-560";"	700";"	700"
;;;;;;;;;;;;
-165;"	-1";"	-399";"	-11";"	4";"	952";"	-21";"	-18";"	951";"	27650";"	280";"	8680";"	8680"
;;;;;;;;;;;;
-199;"	279";"	123";"	-97";"	-124";"	144";"	-62";"	632";"	267";"	2800";"	24780";"	-23730";"	-23730"
;;;;;;;;;;;;
-199;"	276";"	129";"	12";"	-962";"	98";"	-11";"	985";"	140";"	-770";"	-4060";"	1260";"	1260"
;;;;;;;;;;;;
-192;"	280";"	129";"	-7";"	-947";"	113";"	-46";"	968";"	144";"	5040";"	490";"	70";"	70"
;;;;;;;;;;;;
-187;"	277";"	126";"	0";"	-951";"	105";"	-36";"	966";"	123";"	16030";"	-2520";"	2240";"	2240"
;;;;;;;;;;;;
-201;"	246";"	195";"	0";"	-958";"	-77";"	-33";"	978";"	-42";"	910";"	-700";"	-560";"	-560"
;;;;;;;;;;;;
-201;"	243";"	210";"	27";"	-974";"	-108";"	-3";"	992";"	-67";"	5180";"	-1960";"	-1960";"	-1960"
;;;;;;;;;;;;
-220;"	60";"	400";"	55";"	-728";"	-639";"	31";"	749";"	-602";"	20930";"	70";"	3080";"	3080"
;;;;;;;;;;;;
-213;"	-97";"	465";"	98";"	-490";"	-1161";"	26";"	513";"	-856";"	26110";"	-10570";"	700";"	700"
;;;;;;;;;;;;
-178;"	-121";"	475";"	39";"	-397";"	-966";"	0";"	409";"	-879";"	-16310";"	4550";"	-2730";"	-2730"
;;;;;;;;;;;;
-180;"	222";"	306";"	-3";"	-900";"	-327";"	-48";"	923";"	-292";"	-32340";"	2660";"	3360";"	3360"
;;;;;;;;;;;;
-196;"	262";"	204";"	-3";"	-962";"	-85";"	-36";"	977";"	-51";"	-18130";"	-9730";"	3640";"	3640"
;;;;;;;;;;;;
-193;"	274";"	177";"	43";"	-982";"	-46";"	0";"	1004";"	-7";"	-15330";"	-6230";"	-2870";"	-2870"
;;;;;;;;;;;;
-141;"	40";"	-384";"	-77";"	-147";"	1073";"	-86";"	126";"	1052";"	-6020";"	280";"	-7140";"	-7140"
;;;;;;;;;;;;
-169;"	33";"	-379";"	86";"	-19";"	924";"	82";"	13";"	1078";"	-7700";"	-10640";"	6090";"	6090"
;;;;;;;;;;;;
-154;"	-16";"	-412";"	-11";"	-19";"	1030";"	-33";"	-10";"	1064";"	70";"	-3570";"	-1120";"	-1120"
;;;;;;;;;;;;
49;"	-40";"	-406";"	-487";"	27";"	878";"	-490";"	-103";"	903";"	-5740";"	31570";"	-7280";"	-7280"
;;;;;;;;;;;;
337;"	-24";"	-184";"	-947";"	-7";"	168";"	-963";"	-26";"	208";"	-2730";"	23100";"	4060";"	4060"
;;;;;;;;;;;;
384;"	-39";"	-100";"	-997";"	12";"	0";"	-1004";"	-53";"	35";"	280";"	560";"	-3010";"	-3010"
;;;;;;;;;;;;
376;"	-43";"	-147";"	-947";"	43";"	82";"	-961";"	-75";"	124";"	3500";"	-18270";"	6090";"	6090"
;;;;;;;;;;;;
-73;"	-12";"	-423";"	-237";"	-3";"	948";"	-238";"	-20";"	968";"	13090";"	-22400";"	6510";"	6510"
;;;;;;;;;;;;
-513;"	3";"	-115";"	854";"	-38";"	460";"	805";"	17";"	514";"	-1470";"	-74830";"	-3920";"	-3920"
;;;;;;;;;;;;
-541;"	-3";"	78";"	971";"	-46";"	74";"	950";"	61";"	112";"	5180";"	-3010";"	-3430";"	-3430"
;;;;;;;;;;;;
-541;"	-15";"	75";"	1014";"	-3";"	94";"	978";"	3";"	122";"	1540";"	4130";"	-1260";"	-1260"
;;;;;;;;;;;;
-163;"	-33";"	-399";"	20";"	47";"	1061";"	-1";"	-74";"	1060";"	2730";"	-9590";"	1890";"	1890"
;;;;;;;;;;;;
-193;"	271";"	-88";"	23";"	-779";"	484";"	-2";"	796";"	525";"	75740";"	-4480";"	2170";"	2170"
;;;;;;;;;;;;
-201;"	265";"	144";"	31";"	-978";"	43";"	0";"	995";"	96";"	8540";"	4690";"	-2310";"	-2310"
;;;;;;;;;;;;
-196;"	271";"	141";"	12";"	-974";"	59";"	-18";"	994";"	102";"	-5740";"	-4620";"	-70";"	-70"
;;;;;;;;;;;;
-159;"	82";"	-351";"	-34";"	-249";"	936";"	-58";"	219";"	976";"	-20370";"	-11200";"	-6930";"	-6930"
;;;;;;;;;;;;
-229;"	-441";"	-300";"	148";"	835";"	332";"	133";"	-877";"	349";"	-50820";"	28770";"	4760";"	4760"
;;;;;;;;;;;;
-145;"	-567";"	-171";"	-22";"	928";"	8";"	-30";"	-984";"	50";"	4690";"	-1050";"	1680";"	1680"
;;;;;;;;;;;;
-163;"	-226";"	-427";"	-42";"	398";"	866";"	-75";"	-431";"	933";"	88410";"	6090";"	-5460";"	-5460"
;;;;;;;;;;;;
-165;"	-63";"	-448";"	-46";"	8";"	1108";"	-84";"	-31";"	1109";"	-8750";"	-99680";"	-420";"	-420"
;;;;;;;;;;;;
-162;"	10";"	-439";"	8";"	-7";"	991";"	-5";"	-12";"	1014";"	1470";"	-1400";"	-6860";"	-6860"