127	-418	-216	-26	4	959	-38	-47	1031	-70	140	0	
130	-423	-229	-26	8	940	-36	-48	1031	0	140	-70	
127	-414	-258	-26	8	940	-38	-49	1030	0	140	0	
120	-424	-253	-34	4	948	-38	-48	1032	0	70	-70	
120	-421	-256	-30	4	956	-38	-46	1032	0	140	0	
118	-424	-243	-22	8	956	-36	-47	1032	0	70	0	
124	-432	-235	-30	0	944	-36	-46	1032	0	140	0	
129	-432	-238	-22	4	956	-37	-46	1031	-70	140	0	
7	-306	-303	-19	-15	1112	-4	-38	1204	25340	7700	-15890	
-57	-304	-405	35	-46	909	21	-2	994	-1960	-1960	-9100	
12	-387	-267	-163	-58	963	-149	-19	1031	5180	18270	-15750	
-123	-306	61	-526	519	612	-505	-572	689	490	-14980	9730	
19	-448	-124	-73	238	815	-73	-272	897	6650	-5320	11060	
34	-381	-294	-26	0	944	-38	-43	1032	0	0	350	
34	-376	-285	-26	-3	928	-35	-44	1032	0	140	0	
27	-384	-288	-15	0	952	-33	-43	1030	0	70	-70	
31	-378	-294	-30	4	956	-34	-44	1032	0	70	-70	
39	-379	-288	-19	-11	944	-34	-43	1033	0	70	0	
39	-382	-303	-46	4	928	-43	-52	1032	0	280	-140	
27	-384	-298	-26	4	928	-44	-47	1007	140	210	-70	
31	-369	-304	-26	4	952	-35	-44	1031	-70	140	0	
27	-375	-307	-19	4	952	-35	-44	1031	-70	140	-70	
30	-384	-309	-19	-7	944	-33	-45	1029	0	140	0	
25	-375	-300	-38	4	971	-35	-45	1024	0	140	-70	
27	-376	-295	-19	4	932	-31	-44	1027	-70	-70	-70	
28	-376	-289	-19	16	948	-28	-42	1031	-70	-700	-70	
22	-373	-285	-26	4	940	-34	-45	1032	-70	140	0	
27	-384	-288	-22	4	936	-34	-44	1031	-70	70	-70	
24	-376	-294	-22	4	944	-34	-45	1032	-70	140	0	
34	-378	-285	-30	8	940	-33	-47	1032	0	140	0	
33	-370	-283	-26	-3	959	-35	-46	1032	-70	140	-70	
33	-381	-294	-26	0	956	-35	-44	1033	0	140	0	
21	-382	-291	-22	0	956	-35	-45	1032	-70	140	-70	
33	-375	-301	-22	4	940	-34	-46	1031	0	70	-70	
31	-370	-288	-26	4	952	-36	-43	1032	-70	140	-70	
-66	-259	-310	-58	-268	909	-69	217	1020	45290	-11130	-31150	
-61	-283	-306	-155	-334	967	-156	268	1042	1190	14630	-7770	
-66	-313	-313	-54	-167	944	-82	111	1011	-33810	-20230	11410	
-67	-349	-312	-112	-104	1034	-137	67	1130	6510	-3570	11410	
-66	-342	-325	-128	-198	1073	-135	146	1185	-10220	-630	17430	
-90	-358	-346	27	0	1002	7	-29	1064	-3500	-20020	10220	
-109	-336	-376	51	-15	842	50	-25	909	35210	-2870	7840	
-99	-303	-390	43	-104	846	32	70	949	14910	1120	5320	
-100	-277	-387	43	-202	901	32	149	977	-6650	-5670	4900	
-105	-304	-396	47	-202	909	32	160	993	4130	14420	-2310	
-84	-309	-387	43	-69	889	27	36	997	-910	4690	-560	
-76	-300	-379	12	-147	862	1	108	945	-910	4410	-5250	
-73	-310	-376	-22	-120	998	-27	67	1100	-770	-1260	3010	
-78	-313	-382	-38	-132	928	-55	91	1000	6510	-280	21420	
-78	-301	-376	31	-85	862	14	40	960	-3710	-210	12740	
-75	-322	-381	-54	-120	866	-69	72	918	-9870	-1960	30170	
-66	-312	-373	-11	-77	1034	-7	36	1150	-5250	1750	21420	
-64	-312	-379	0	-143	1010	-14	93	1131	7210	-5390	5810	
-78	-315	-376	90	-77	936	73	42	1020	-5880	4970	-4620	
-78	-315	-378	-19	39	207	11	-117	383	59010	-61040	-12740	
-91	-481	-303	-22	160	456	7	-266	521	-41020	23380	-3570	
-21	-463	-169	-334	293	1841	-329	-341	1991	76160	114240	31850	
75	-502	-99	-370	16	1170	-333	-136	1299	-21140	-65240	27790	
37	-484	-136	-194	176	1201	-187	-219	1306	6230	-29470	-910	
-18	-433	-183	-108	195	905	-108	-241	999	3360	6790	-11060	
-31	-397	-228	-100	66	917	-106	-101	1010	31780	-15750	6580	
-46	-364	-289	-7	82	874	-27	-118	980	28420	-17990	-2660	
-52	-328	-318	-42	-54	803	-48	32	884	5740	-2660	-4550	
-64	-330	-321	-34	-85	1115	-42	44	1190	-7840	23940	-4270	
-54	-321	-333	0	-81	905	3	34	970	13580	-8960	-4410	
-61	-325	-342	-3	47	1037	-29	-6	1086	-34230	4410	11200	
-78	-348	-342	20	70	846	17	-63	961	-34510	-54530	16030	
-109	-379	-340	168	129	995	137	-164	1062	-6020	6230	-3710	
-103	-361	-343	113	94	1119	99	-133	1197	14070	9520	-21840	
-115	-348	-367	59	-50	881	48	24	983	20090	-3080	-12950	
-105	-325	-369	70	-69	917	61	24	1016	15050	11410	-4970	
-88	-313	-376	43	-73	858	34	35	958	-7840	9870	-3640	
-99	-351	-384	78	-3	1002	67	-35	1085	-24640	-28770	-14560	
-102	-351	-384	94	-19	1108	93	-21	1227	-6720	18970	-29190	
-97	-360	-400	12	27	897	-11	-60	954	12810	-8190	-53830	
-90	-339	-399	0	12	850	-76	-54	978	13020	20090	-9240	
-88	-339	-400	4	-26	991	-6	-11	1092	9590	5740	2240	
-82	-343	-402	-42	-38	920	-65	-2	1001	-420	7350	-4270	
-76	-339	-396	-77	-89	995	-84	42	1097	5390	-70	-6860	
-82	-327	-405	-46	-108	917	-60	71	1018	8610	-8540	1120	
-94	-306	-405	8	-112	924	-12	67	1016	2310	-4970	-980	
-87	-312	-411	-22	-139	971	-34	95	1058	-4900	-210	-1400	
-94	-312	-400	0	-151	932	-8	106	1006	770	-4900	2310	
-133	-436	-387	66	172	-311	25	-123	-211	-341600	68530	-81340	
-19	-579	-162	-1189	1034	1977	-1265	-917	1888	10150	97860	95690	
-12	-534	-97	-385	495	1806	-353	-515	1776	49280	-43190	42280	
36	-633	-64	-342	140	1599	-354	-163	1671	-24990	-23030	9590	
-3	-553	-111	-237	226	1143	-227	-268	1244	18480	-8960	-10080	
-57	-471	-210	-89	265	819	-100	-326	924	-1890	-36680	-7280	
-67	-477	-235	20	464	1014	-17	-465	1086	-48930	-3220	25340	
-88	-498	-286	-50	265	823	-39	-303	947	10920	-35000	-3150	
-66	-487	-324	-89	105	1026	-90	-168	1112	28490	30870	-17710	
-42	-435	-346	-128	82	831	-134	-127	918	45500	3710	-1540	
-21	-397	-363	-116	23	1037	-127	-66	1134	28420	19040	-11550	
-27	-358	-379	-151	-65	854	-157	12	937	17430	-6510	-10920	
-60	-340	-394	-54	-97	889	-65	54	959	18760	-41790	-13930	
-63	-337	-399	-89	-100	901	-114	58	1008	3990	2100	-6090	
-61	-342	-399	-97	-58	971	-112	23	1063	-6860	11130	420	
-64	-342	-408	-69	-42	944	-76	-7	1043	980	-6370	210	
-91	-339	-402	-19	-89	885	-51	59	989	-3780	-9310	-210	
-84	-351	-399	-50	-73	913	-49	28	1010	0	2380	-4690	
-85	-358	-399	-65	-38	928	-68	0	1002	-4760	-3360	-2310	
-88	-360	-411	-50	-58	959	-59	13	1041	3010	-770	-1680	
-97	-366	-406	-34	-54	737	-50	6	840	-13860	2030	-2660	
-94	-427	-393	-3	-58	-171	16	-65	-84	-85540	-31920	630	
-82	-498	-286	-58	460	772	-130	-523	835	32130	15260	27650	
-37	-498	-159	-292	523	1958	-372	-393	1998	40740	148680	1050	
4	-675	6	-682	-3	1271	-672	-44	1359	15050	-16450	-27230	
-36	-537	-87	-448	23	874	-457	-52	993	24010	-46200	-5180	
-58	-447	-211	-229	66	948	-217	-113	1018	9870	-25620	-350	
-69	-429	-268	-159	113	835	-163	-155	923	13090	-17850	1400	
-61	-421	-307	-69	78	995	-107	-114	1035	5250	350	6090	
-63	-409	-337	-89	78	835	-107	-121	932	26530	-15330	5810	
-61	-379	-360	-89	-34	850	-102	-12	926	22050	0	-4270	
-48	-349	-375	-112	-155	963	-133	110	1046	-3080	7000	7770	
-54	-357	-391	-26	-11	936	-46	-31	995	-5110	-4270	1750	
-57	-346	-390	-85	-69	854	-93	30	916	-4060	-7700	-1540	
-54	-360	-391	-50	-22	944	-59	-5	1003	-8820	2380	4270	
-57	-382	-388	-61	16	940	-73	-67	1031	5390	-15120	-3990	
-76	-403	-393	-26	31	920	-44	-81	1000	-25060	-6370	-1540	
-88	-417	-387	4	59	924	0	-99	1042	-10500	-6160	-980	
-90	-426	-390	-11	66	932	-28	-108	1004	-3010	-1680	-280	
-106	-427	-393	8	109	967	-1	-149	1048	-11200	-4620	-5880	
-99	-420	-391	12	39	959	-1	-85	1049	4410	8750	-4690	
-94	-417	-391	4	70	959	-7	-111	1038	3080	4410	-1820	
-91	-409	-393	-19	43	967	-32	-84	1067	5180	2450	1540	
-91	-403	-400	4	43	944	0	-82	1034	8470	560	-1540	
-97	-396	-397	-30	12	924	-43	-54	1010	-1610	2520	70	
-84	-399	-394	-22	12	917	-34	-52	993	1120	2730	840	
-85	-403	-394	211	113	-3	188	-146	162	-35280	52640	-35070	
-42	-513	-259	-362	269	905	-391	-439	967	8330	4620	25270	
-49	-492	-172	-553	398	1271	-562	-467	1303	8890	112630	65730	
42	-663	-31	-643	176	1369	-678	-214	1488	-13160	-43470	10710	
-7	-553	-76	-362	207	952	-372	-253	1057	3220	-55090	-17990	
-43	-459	-171	-245	70	893	-251	-89	1047	30170	-23310	-2940	
-55	-435	-252	-128	164	932	-138	-200	1029	15680	-18900	-210	
-58	-418	-294	-128	78	866	-137	-120	956	18760	-5180	700	
-52	-399	-324	-128	-22	846	-136	-33	948	16450	6020	-3150	
-40	-370	-342	-77	-15	881	-85	-25	944	17430	-9450	-1400	
-54	-352	-358	-89	-54	893	-99	7	980	2590	-5810	-6720	
-55	-343	-367	-85	-108	870	-95	60	949	4690	-8890	-11200	
-69	-339	-382	-97	-147	842	-100	109	943	3290	-1190	-8050	
-69	-331	-378	-89	-89	944	-91	48	1043	8890	-1680	-9450	
-75	-328	-379	-100	-128	913	-110	93	1023	1750	-2450	-1610	
-73	-330	-373	-50	-108	971	-55	59	1050	-1190	1820	2030	
-78	-330	-384	-65	-128	905	-81	80	998	-1260	-560	-770	
-75	-337	-381	-69	-128	944	-79	85	1022	490	-1470	-910	
-82	-324	-381	-65	-124	967	-73	81	1044	1680	-1120	-840	
-72	-331	-378	-61	-128	924	-68	78	1016	-1190	-420	-2590	
-75	-331	-378	-77	-112	936	-95	70	1029	3360	-280	-2660	
-85	-325	-385	-73	-128	944	-83	81	1022	840	-1750	2730	
-79	-325	-376	-30	-139	983	-40	88	1058	2800	-2660	2660	
-88	-327	-376	-7	-112	889	-24	71	986	-3920	700	-4340	
-81	-342	-375	-46	-93	839	-47	53	905	-13580	14770	-13860	
-85	-382	-364	-108	-73	995	-89	11	1087	-5600	-2660	-29260	
-70	-390	-360	-93	-11	971	-116	-34	1034	-5670	11130	-20090	
-60	-388	-351	-167	-54	940	-151	10	1072	10710	9660	-9310	
-69	-382	-349	-104	215	1225	-190	-207	1200	-16590	19740	7210	
-63	-390	-342	-81	-50	1112	-112	11	1215	-14350	21910	-14560	
-69	-378	-352	-210	-139	729	-184	43	958	13230	-9800	840	
-61	-369	-349	-163	-11	956	-180	-31	1042	3290	13090	14910	
-60	-370	-357	-108	-26	846	-118	-5	935	-11690	7770	-3850	
-73	-376	-352	-85	-15	811	-91	-32	894	-35560	-21630	-11060	
-97	-412	-334	-61	-77	1100	-82	43	1136	-13230	-4620	-3150	
-105	-420	-337	-30	-11	1010	-52	-43	1104	7700	3920	-2030	
-102	-414	-345	-38	86	909	-63	-122	1013	21350	-2450	-3290	
-102	-382	-352	-81	27	913	-92	-73	1003	17500	-2310	1400	
-115	-375	-349	-22	-77	944	-36	43	1026	14770	-13930	-2450	
-118	-358	-358	-11	-42	913	-24	4	997	-980	7000	-2310	
-114	-369	-348	-77	8	913	-77	-44	983	-1330	-2100	700	
-121	-378	-343	-50	-54	963	-61	16	1045	-4060	-4130	-1890	
-130	-375	-352	23	-69	983	3	28	1075	12600	-8890	4200	
-133	-370	-336	4	-61	952	-1	29	1040	8260	-2800	-4480	
-138	-360	-343	0	-69	920	-13	29	1018	2240	2450	-4690	
-147	-360	-349	-3	-50	924	-20	10	1026	-2240	-840	-2170	
-136	-363	-352	-22	-81	952	-17	31	1029	-4830	2380	280	
-133	-358	-351	8	-61	948	1	23	1031	-1470	3430	2100	
-141	-363	-349	23	-85	948	17	46	1028	-3850	-4620	-4340	
-142	-366	-337	-3	-73	971	-20	34	1056	3640	-2450	-4060	
-139	-370	-340	12	-65	917	4	24	997	-1820	770	-1260	
-156	-367	-349	39	-85	940	19	33	1036	-1750	490	-2800	
-148	-360	-340	31	-89	932	19	41	1016	5110	-6790	-2800	
-154	-366	-351	27	-89	940	15	42	1008	-980	4620	-5460	
-166	-363	-337	-54	-77	924	-47	29	1004	-10780	4690	-5670	
-160	-370	-343	90	-69	995	58	27	1094	3500	-19460	1890	
-177	-363	-340	51	-73	952	36	31	1050	1540	-6020	-16100	
-169	-375	-340	-34	-11	948	-40	-26	1036	-11550	1540	-6090	
-166	-379	-348	94	-69	956	78	37	1032	10150	6300	14140	
-163	-370	-340	59	-81	901	58	37	1004	-210	7630	-2170	
-144	-376	-339	-38	62	788	-37	-103	877	-14770	16660	-9030	
-156	-391	-322	43	74	948	26	-120	1059	-15330	-16520	280	
-141	-420	-319	-38	101	963	-43	-136	1048	-35280	-3010	-210	
-148	-451	-289	-38	160	1057	-47	-207	1151	-26530	-6860	1050	
-156	-460	-279	-3	215	952	0	-250	1033	2940	11550	-2730	
-144	-460	-274	31	207	913	25	-241	1013	4550	-8680	-8470	
-157	-451	-285	-11	242	940	-17	-276	1020	5460	3290	-6930	
-147	-456	-283	-3	222	932	-16	-252	1022	1330	-5740	0	
-151	-450	-283	0	207	928	-11	-245	1000	2030	3710	3360	
-153	-447	-294	4	207	854	-1	-233	933	-1960	9030	-140	
-160	-445	-291	35	183	909	25	-222	1006	-770	1610	2730	
-151	-445	-286	16	187	967	14	-224	1042	-4690	-560	-8680	
-153	-450	-295	0	187	944	-10	-227	1030	10290	-2030	-3150	
-160	-441	-297	23	156	936	25	-194	1018	10570	-4830	420	
-166	-436	-291	23	160	932	12	-191	1019	9100	-6160	4200	
-162	-417	-312	101	113	936	79	-151	1025	5180	-1330	-140	
-172	-420	-303	-11	105	952	-20	-150	1034	3290	5390	-6370	
-162	-405	-312	78	74	897	65	-112	981	7070	6300	-630	
-165	-402	-313	27	43	936	24	-79	1027	4970	-1680	-11340	
-165	-400	-318	4	70	909	-16	-109	1014	3570	2310	-840	
-162	-396	-313	27	31	952	12	-76	1039	-1120	-8610	980	
-166	-402	-315	35	27	952	19	-77	1044	2310	-700	3710	
-163	-406	-318	74	39	932	58	-82	1024	-1260	-1050	-3430	
-87	-456	-288	51	-38	897	-89	23	933	2310	-26740	-5670	
-141	-444	-321	-15	164	893	-31	-198	998	35000	-52920	-16520	
-142	-442	-315	-50	98	983	-26	-129	1016	-2240	-5250	-9590	
-157	-430	-310	16	125	893	18	-159	967	-12390	6370	4900	
-153	-445	-310	-61	74	979	-79	-9	1034	-4130	1050	2030	
-138	-448	-310	-15	117	975	-32	-152	1060	5320	-7070	2240	
-114	-420	-312	-112	86	944	-132	-130	1029	14350	26390	8190	
-130	-426	-325	-245	-132	862	-222	67	954	-33390	-59850	0	
-220	-553	-258	140	538	679	107	-547	790	-126140	-61740	27370	
-192	-652	-126	226	862	761	217	-945	874	-39620	-22260	18270	
-205	-615	-193	199	620	850	163	-673	898	73290	-29330	-42000	
-250	-538	-270	308	277	831	300	-304	826	76370	7420	-32410	
-243	-435	-348	250	0	722	237	-20	815	54880	34510	-11900	
-220	-411	-355	179	51	983	167	-85	1085	420	8260	-7000	
-231	-421	-348	156	47	874	137	-94	962	-33040	-9730	-7770	
-322	-480	-309	464	230	733	450	-267	801	-4340	-93310	-36750	
-357	-438	-322	378	47	889	364	-93	964	14630	14070	-7070	
-354	-435	-327	421	144	928	399	-170	1014	-3080	6510	4480	
-351	-427	-327	378	47	846	373	-93	924	490	0	-1750	
-351	-432	-328	402	94	858	393	-120	928	4830	9030	910	
-349	-423	-325	406	55	819	383	-101	934	5600	-5530	3850	
-340	-420	-343	378	43	901	364	-81	971	-350	3780	3150	
-343	-424	-336	382	59	858	373	-91	923	-4270	-490	1470	
-342	-424	-334	413	43	866	387	-82	972	-420	-5320	2240	
-346	-423	-345	394	55	874	381	-87	938	3570	-980	-700	
-342	-421	-342	410	59	897	389	-93	971	5040	6020	770	
-331	-415	-346	374	51	893	358	-84	981	6650	2800	770	
-331	-412	-351	374	35	850	355	-72	942	280	350	910	
-330	-409	-345	374	51	870	362	-82	950	-3220	210	-350	
-334	-421	-345	378	90	905	358	-122	981	-5810	4270	3150	
-325	-423	-334	382	90	881	357	-120	971	-5670	3500	1330	
-316	-432	-346	347	74	889	333	-113	972	-630	3220	-2240	
-322	-424	-346	363	94	870	349	-127	958	350	1890	1330	
-315	-430	-339	320	39	885	311	-81	959	490	-490	1470	
-312	-427	-339	351	66	862	335	-98	959	3710	490	1330	
-307	-426	-345	367	82	897	344	-115	975	0	350	630	
-315	-424	-346	339	47	870	329	-92	966	2450	-1890	280	
-306	-421	-342	359	74	901	346	-111	991	2380	280	-420	
-316	-414	-337	363	55	858	344	-91	957	-700	-1890	-1610	
-318	-415	-339	363	98	917	343	-130	987	-490	1750	700	
-312	-415	-346	316	47	846	306	-90	945	2660	7280	3360	
-295	-418	-349	312	70	901	302	-109	988	350	7560	10080	
-286	-420	-346	332	55	936	309	-92	1001	-2940	2730	3570	
-274	-423	-352	312	98	944	291	-132	1037	2310	6440	-5810	
-271	-411	-345	242	66	909	226	-107	999	3430	11970	-10500	
-268	-412	-357	226	23	924	212	-67	1006	4200	1820	-5250	
-259	-399	-361	242	4	889	227	-34	986	5320	-980	-3290	
-258	-394	-363	230	12	913	208	-49	987	350	-210	-1260	
-262	-387	-361	218	4	913	196	-48	1012	-840	3500	-4550	
-270	-409	-354	183	-38	995	187	-62	1070	-40600	-30660	-20650	
-328	-433	-342	293	23	854	290	-74	931	4760	980	12810	
-304	-411	-351	308	8	823	303	-44	894	630	39340	-15050	
-264	-438	-361	164	23	971	160	-70	922	-7980	39620	-23730	
-196	-442	-360	-22	20	1034	-40	-74	1107	-13020	76860	-44170	
-157	-436	-358	-73	101	889	-90	-130	997	6580	19810	-30380	
-156	-427	-360	-124	183	948	-148	-218	1039	420	-1260	-29330	
-165	-433	-357	-77	55	940	-75	-91	1030	3500	-3290	-6510	
-157	-430	-351	-77	160	893	-96	-200	983	-1540	2730	-27160	
-178	-427	-366	-104	164	987	-120	-212	1083	7630	-8960	-36400	
-196	-433	-366	-58	133	987	-59	-175	1060	-5250	910	-7700	
-208	-432	-373	-81	242	998	-99	-269	1097	9450	-5810	-21840	
-213	-424	-375	0	51	932	-18	-76	1034	-3080	-28070	-3990	
-222	-427	-372	66	78	936	77	-102	998	-8890	16240	34230	
-184	-442	-369	90	133	940	58	-185	1034	1610	-5740	17080	
-180	-465	-364	-217	-38	796	-241	-41	919	-27930	-22400	-5180	
-217	-505	-336	90	234	936	81	-293	1011	-13510	-20510	-7980	
-210	-514	-339	-77	257	913	-82	-323	993	-8120	17360	20440	
-162	-511	-342	-46	335	862	-33	-373	919	20650	3010	42420	
-150	-478	-357	-19	343	1018	-41	-380	1087	26810	280	2170	
-142	-459	-373	-108	215	987	-89	-279	1017	23590	17010	-18830	
-153	-438	-388	-100	16	928	-113	-46	1024	-10220	5460	19740	
-150	-439	-381	39	195	792	12	-223	846	5250	-1330	12250	
-147	-429	-396	16	187	944	-6	-221	1012	22470	-4760	19460	
-139	-421	-406	-22	59	913	-18	-115	997	14280	5320	-3500	
-139	-402	-406	-34	27	928	-43	-79	1002	560	-6230	-420	
-132	-399	-409	-104	4	963	-108	-43	1057	2100	8470	-4970	
-133	-397	-411	-128	-73	862	-127	30	928	1120	0	140	
-127	-432	-406	4	55	20	-25	-96	94	-107800	22120	-6440	
-100	-502	-348	137	172	39	99	-230	173	127820	-9870	-23310	
